,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date,TO%_scaled,FTR Def_scaled,3pD%_scaled,2p%_scaled,Adj_OtoD_Margin_scaled,gilgo_score_v2,projected_points
91,Nevada,113.0092597,104.1913893,17.1,36.8,35.5,54,8.817870419,-2.154699044,1/24/25,0.700787402,0.481675393,0.346938776,0.620408163,0.595696078,0.578466349,
140,Elon,107.6710782,105.7505374,18.3,22.7,31.7,52.2,1.92054085,-4.995320081,1/24/25,0.606299213,0.85078534,0.605442177,0.546938776,0.508555153,0.578144502,
96,Providence,110.5772053,103.7761039,18.5,33.7,31,51.9,6.801101404,-3.033278143,1/24/25,0.590551181,0.562827225,0.653061224,0.534693878,0.5702162,0.57644692,
111,Virginia,104.349387,99.66751103,18.2,26.1,32,48.5,4.681875949,-3.747005671,1/24/25,0.614173228,0.761780105,0.585034014,0.395918367,0.543441886,0.57543628,
142,Florida Gulf Coast,106.9407104,105.1775448,16.9,29.7,32.1,54.4,1.763165653,-5.476618951,1/24/25,0.716535433,0.667539267,0.578231293,0.636734694,0.506566873,0.573833469,
123,Illinois St.,113.9325783,110.1194618,16.6,30.9,35.5,55.7,3.813116416,-4.520948986,1/24/25,0.74015748,0.636125654,0.346938776,0.689795918,0.53246597,0.573266376,
109,Akron,110.2296352,104.8113171,17.3,33.1,32.8,51.8,5.418318056,-3.766075986,1/24/25,0.68503937,0.578534031,0.530612245,0.530612245,0.552746102,0.572622445,
150,UNC Greensboro,107.1095814,105.761541,15.7,31.1,29.1,46,1.348040417,-5.671145346,1/24/25,0.811023622,0.630890052,0.782312925,0.293877551,0.501322177,0.572579354,
144,Charleston,106.4702329,104.7432353,16.9,28.8,30.9,50.3,1.726997603,-5.441531462,1/24/25,0.716535433,0.691099476,0.659863946,0.469387755,0.506109926,0.571452163,
145,San Jose St.,110.1975079,108.538933,15.6,29.2,32.8,48.7,1.658574869,-5.50226933,1/24/25,0.818897638,0.680628272,0.530612245,0.404081633,0.505245472,0.570040934,
115,Temple,110.2449483,105.8937771,16.3,33.8,31.8,48.1,4.351171236,-4.345485546,1/24/25,0.763779528,0.560209424,0.598639456,0.379591837,0.539263759,0.569237082,
130,Louisiana Tech,110.4411576,107.5914879,19.5,29.4,29.6,55.6,2.849669666,-4.986601504,1/24/25,0.511811024,0.67539267,0.74829932,0.685714286,0.520293775,0.569004098,
149,Jacksonville St.,110.7517736,109.3345876,16.4,26,34.1,50.4,1.417186035,-5.537716519,1/24/25,0.755905512,0.764397906,0.442176871,0.473469388,0.502195764,0.567526147,
178,Montana St.,104.9221253,106.2519544,15.3,33.8,29.1,52,-1.329829104,-7.309895754,1/24/25,0.842519685,0.560209424,0.782312925,0.53877551,0.467489949,0.565973769,
157,Belmont,111.9156794,111.2087707,16.2,26.5,36.1,54.9,0.706908715,-6.009135684,1/24/25,0.771653543,0.751308901,0.306122449,0.657142857,0.493222113,0.565044589,
126,Cornell,114.9780745,111.5193152,18,32.7,36.4,63.3,3.458759344,-4.9846068,1/24/25,0.62992126,0.589005236,0.285714286,1,0.527989019,0.564869754,
139,Northern Colorado,112.0469394,109.9472735,15.9,36.3,35.5,60.4,2.09966585,-5.812453832,1/24/25,0.795275591,0.494764398,0.346938776,0.881632653,0.51081822,0.564246483,
163,Wichita St.,105.4443123,105.517322,15.8,26.7,34.7,51.6,-0.073009689,-6.42338591,1/24/25,0.803149606,0.746073298,0.401360544,0.52244898,0.483368617,0.561662354,
174,Merrimack,100.0571874,100.9865815,15.1,31.6,30.5,48.1,-0.929394096,-7.055330398,1/24/25,0.858267717,0.617801047,0.68707483,0.379591837,0.472549049,0.559944666,
134,Tulane,106.9644356,104.6457203,16.3,34.3,32,50.9,2.318715283,-5.564033678,1/24/25,0.763779528,0.547120419,0.585034014,0.493877551,0.513585692,0.559810578,
147,Murray St.,105.8777568,104.3695009,17,34.3,30.4,50.4,1.508255911,-6.063013894,1/24/25,0.708661417,0.547120419,0.693877551,0.473469388,0.503346341,0.552985343,
207,Central Connecticut,98.59156389,102.2147375,17.7,20.8,32.1,53.1,-3.623173589,-8.103535889,1/24/25,0.653543307,0.90052356,0.578231293,0.583673469,0.438515814,0.552169219,
198,Toledo,110.7876561,114.1970666,14.6,26.1,34.4,50.1,-3.409410491,-8.2218904,1/24/25,0.897637795,0.761780105,0.421768707,0.46122449,0.441216499,0.551197698,
122,Georgia Tech,105.2274313,101.6638335,17.1,31,35.3,50.1,3.563597815,-4.918505333,1/24/25,0.700787402,0.633507853,0.360544218,0.46122449,0.52931355,0.550312106,
166,Princeton,106.9180604,107.3013668,15.2,32.5,34.4,51.3,-0.383306372,-7.039166887,1/24/25,0.850393701,0.594240838,0.421768707,0.510204082,0.479448326,0.547551692,
117,California,112.6395168,108.2948855,17.4,30.9,35.9,49.3,4.344631275,-4.555124922,1/24/25,0.677165354,0.636125654,0.319727891,0.428571429,0.539181134,0.547182616,
152,Syracuse,108.0385867,106.7648001,17.4,30,34.3,52.7,1.273786629,-6.114190156,1/24/25,0.677165354,0.659685864,0.428571429,0.567346939,0.500384054,0.546552876,
110,Samford,112.3142049,107.0406194,19.1,37.1,32.9,55.3,5.273585437,-4.433762884,1/24/25,0.543307087,0.47382199,0.523809524,0.673469388,0.550917549,0.546163544,
120,DePaul,109.0467864,105.118997,18.5,28.9,35.6,51.5,3.92778947,-4.717198423,1/24/25,0.590551181,0.688481675,0.340136054,0.518367347,0.53391475,0.545913301,
188,La Salle,102.2901666,104.3718636,15.5,28.6,31.8,46.5,-2.081696936,-7.696935131,1/24/25,0.826771654,0.696335079,0.598639456,0.314285714,0.457990844,0.545485246,
127,Wofford,111.9057395,108.7051755,17.3,36,35,55.2,3.200564056,-5.464055926,1/24/25,0.68503937,0.502617801,0.380952381,0.669387755,0.524726978,0.54452393,
138,Western Kentucky,101.7654879,99.81991714,15.9,41.1,29.3,47.2,1.945570758,-6.255251838,1/24/25,0.795275591,0.369109948,0.768707483,0.342857143,0.508871381,0.542828918,
112,New Mexico St.,106.6644305,102.1319618,17.2,41.8,29.4,47,4.532468696,-4.975094095,1/24/25,0.692913386,0.35078534,0.761904762,0.334693878,0.541554273,0.54260599,
148,Bryant,107.565142,106.1708599,17.7,32.3,31.8,49.7,1.394282149,-6.196137889,1/24/25,0.653543307,0.59947644,0.598639456,0.444897959,0.501906396,0.541084092,
135,Utah Valley,103.394156,101.2106712,17.5,30.5,35.3,51.2,2.183484822,-5.747824259,1/24/25,0.669291339,0.646596859,0.360544218,0.506122449,0.511877189,0.540493399,
