,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date,gilgo_score_v2
146,Towson,102.4395508,100.5736128,0.6,0.472891566,0.435483871,0.272727273,0.477310066,0.377991233,1/23/25,0.473094897
150,Oregon St.,106.4027752,104.6958674,0.525,0.59939759,0.427419355,0.431818182,0.474923416,0.377170749,1/23/25,0.486727485
157,Stony Brook,106.3840626,106.0734632,0.258333333,0.343373494,0.556451613,0.372727273,0.453968281,0.376921702,1/23/25,0.415475369
159,Weber St.,107.4072804,107.2685018,0.233333333,0.40060241,0.60483871,0.613636364,0.451389677,0.375403752,1/23/25,0.442015113
152,Wyoming,108.096564,106.9717606,0.541666667,0.355421687,0.524193548,0.390909091,0.46618747,0.374181694,1/23/25,0.464878264
165,Purdue Fort Wayne,103.5979246,103.9496827,0.225,0.506024096,0.387096774,0.577272727,0.444027934,0.369707137,1/23/25,0.424241587
160,Montana,110.0843978,110.1037099,0.258333333,0.554216867,0.508064516,0.672727273,0.449017126,0.369475573,1/23/25,0.45638271
167,UMass Lowell,105.1907278,105.7332763,0.516666667,0.328313253,0.10483871,0.495454545,0.441164643,0.363238279,1/23/25,0.415821565
163,Quinnipiac,105.1064668,105.2689904,0.425,0.388554217,0.483870968,0.418181818,0.446867877,0.362613199,1/23/25,0.438504862
169,Bryant,100.2167439,101.0065625,0.316666667,0.536144578,0.233870968,0.513636364,0.437453732,0.360641198,1/23/25,0.417738745
164,East Carolina,105.0975859,105.4515205,0.358333333,0.503012048,0.419354839,0.35,0.443995271,0.360192583,1/23/25,0.426370445
173,La Salle,106.0360948,107.0079545,0.183333333,0.521084337,0.637096774,0.327272727,0.434721744,0.355417912,1/23/25,0.414193083
162,Winthrop,106.2796656,106.4423935,0.558333333,0.551204819,0.330645161,0.563636364,0.44686481,0.355095364,1/23/25,0.474068761
158,UC Davis,102.3524208,102.0843279,0.608333333,0.674698795,0.387096774,0.472727273,0.453330365,0.352300939,1/23/25,0.494502352
168,Kent St.,105.3587266,105.9539482,0.433333333,0.569277108,0.411290323,0.368181818,0.44037415,0.351339935,1/23/25,0.443093469
170,UNC Asheville,106.2216505,107.0722096,0.425,0.551204819,0.403225806,0.459090909,0.436542167,0.349974584,1/23/25,0.445308021
178,Loyola Marymount,108.2792206,109.7224824,0.358333333,0.370481928,0.516129032,0.4,0.427647166,0.348417298,1/23/25,0.41700869
174,Hawaii,104.2298375,105.1910886,0.55,0.530120482,0.233870968,0.609090909,0.434880955,0.347812373,1/23/25,0.459260761
166,Eastern Washington,110.7313787,111.160992,0.583333333,0.527108434,0.725806452,0.831818182,0.442859521,0.345814377,1/23/25,0.532826988
183,Temple,102.3961368,104.2490572,0.175,0.602409639,0.379032258,0.204545455,0.421499204,0.345184575,1/23/25,0.379267504
176,Little Rock,105.9678166,107.1434229,0.458333333,0.584337349,0.35483871,0.572727273,0.431664013,0.344928311,1/23/25,0.45671316
171,Utah Valley,98.74765892,99.55787019,0.508333333,0.602409639,0.379032258,0.386363636,0.437147688,0.344419725,1/23/25,0.454550776
177,Illinois Chicago,100.7815075,101.9036732,0.475,0.59939759,0.346774194,0.363636364,0.432466024,0.34239018,1/23/25,0.441632343
172,Georgetown,109.8342689,110.7601516,0.491666667,0.530120482,0.596774194,0.268181818,0.435411744,0.340539595,1/23/25,0.452792784
191,Fairfield,107.2497351,109.8559141,0.291666667,0.295180723,0.5,0.454545455,0.410194656,0.339396348,1/23/25,0.392988117
175,Saint Louis,111.5873938,112.8001091,0.4,0.581325301,0.701612903,0.418181818,0.431107099,0.338962214,1/23/25,0.464645102
156,UTEP,98.28221035,97.84925761,0.766666667,0.912650602,0.338709677,0.381818182,0.455804503,0.338817238,1/23/25,0.530921134
179,Brown,104.1121558,105.5188529,0.525,0.484939759,0.419354839,0.4,0.428195912,0.338736212,1/23/25,0.445057581
187,Vanderbilt,104.3943144,106.4706565,0.275,0.406626506,0.766129032,0.318181818,0.418146196,0.337022139,1/23/25,0.417843959
192,Illinois St.,102.3898853,104.9432241,0.425,0.337349398,0.370967742,0.454545455,0.410987657,0.334632461,1/23/25,0.406044092
194,Northern Kentucky,102.141364,104.919809,0.441666667,0.385542169,0.266129032,0.536363636,0.40760937,0.332083264,1/23/25,0.409365898
181,East Tennessee St.,102.2399119,103.8316082,0.508333333,0.623493976,0.467741935,0.304545455,0.425419532,0.330576227,1/23/25,0.450594396
180,Longwood,104.1235791,105.5676802,0.525,0.608433735,0.580645161,0.363636364,0.427634569,0.330566259,1/23/25,0.468330415
188,Rice,107.2234516,109.386311,0.441666667,0.343373494,0.806451613,0.477272727,0.416847787,0.330392045,1/23/25,0.453725779
185,Pepperdine,106.204376,108.2747406,0.366666667,0.539156627,0.846774194,0.413636364,0.418235905,0.327487692,1/23/25,0.460747079
197,Monmouth,104.9912329,108.0474481,0.275,0.521084337,0.491935484,0.336363636,0.403440726,0.325675797,1/23/25,0.397866569
203,Cleveland St.,105.0915306,108.5188837,0.241666667,0.644578313,0.169354839,0.404545455,0.397870865,0.325387718,1/23/25,0.379145251
190,Long Beach St.,105.1208854,107.6647645,0.425,0.490963855,0.580645161,0.404545455,0.411129624,0.324997405,1/23/25,0.435857426
201,George Washington,106.3956717,109.8217576,0.425,0.204819277,0.548387097,0.431818182,0.397889882,0.323442298,1/23/25,0.399247636
198,Penn,108.7597466,112.0210158,0.391666667,0.322289157,0.661290323,0.490909091,0.400363374,0.321791446,1/23/25,0.422883986
186,Texas A&M Corpus Chris,99.80889566,101.7802309,0.466666667,0.942771084,0.25,0.313636364,0.41972209,0.321441466,1/23/25,0.454245973
214,Lipscomb,109.2479499,113.778869,0.183333333,0.204819277,0.693548387,0.695454545,0.38130907,0.320336038,1/23/25,0.390338361
189,Louisville,104.8071709,107.0340714,0.508333333,0.536144578,0.75,0.409090909,0.415886688,0.320279491,1/23/25,0.471238052
195,Gardner Webb,102.1928682,105.0206124,0.341666667,0.704819277,0.491935484,0.318181818,0.406869511,0.319183299,1/23/25,0.426558106
206,Radford,107.5878648,111.3855156,0.35,0.472891566,0.362903226,0.409090909,0.392313613,0.316809675,1/23/25,0.392887388
182,Fordham,100.6037476,102.3049491,0.516666667,0.879518072,0.64516129,0.263636364,0.423776129,0.316274224,1/23/25,0.48879599
204,Columbia,106.5808024,110.0901438,0.483333333,0.376506024,0.483870968,0.445454545,0.396640423,0.315162141,1/23/25,0.41987494
209,Evansville,101.146478,104.865581,0.383333333,0.370481928,0.612903226,0.431818182,0.393492422,0.314810727,1/23/25,0.4128638
205,Montana St.,103.5862621,107.1056143,0.391666667,0.629518072,0.387096774,0.6,0.396490186,0.314741803,1/23/25,0.436539923
