,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
53,Stanford,112.1,96.9,0.842,5–3,5,8,51.7,48.9,25.6,33.3,16,18.7,26.8,31.9,64.9,47.5,50.2,38.1,30.9,12.3,3.5,55.4,35.2,43.2,33.7,64.1,78.638,82.477,1.765,"2,025",0,0,42.171,,80.9,67.3,1.073,1.023,27.995,Stanford
54,Syracuse,116.8,101.3,0.837,3–4,3,7,53.7,54.1,36.2,39.1,19.6,15.4,33.6,26,66.4,53.7,54.7,35.9,35.3,5.2,10.4,53.5,46.3,33.1,30.8,67.3,77.679,80.881,2.181,"2,025",0,0,61.278,,71.4,69.5,1.089,1.104,27.778,Syracuse
55,Drake,110.1,95.5,0.837,7–0,7,7,48.8,48.5,40.2,31,15.4,21.7,36.9,24.6,57.3,50.9,49.7,30.1,31.2,11.4,9.1,55.7,59.6,37.2,43.3,57.5,77.41,79.116,2.226,"2,025",0,0,0.2,,70.7,70.3,1.111,0.933,11.85,Drake
56,Vanderbilt,118.2,102.8,0.833,3–4,3,7,48.6,53.5,42.8,49,16.5,16.7,32.4,30.9,70.5,50.2,53.5,30.8,35.7,11.6,14.2,52.8,42.2,40.6,39.4,69.7,76.255,78.997,1.973,"2,025",0,0,36.79,,75.3,78.5,1.072,1.153,50.976,Vanderbilt
57,Cornell,124.5,108.4,0.831,5–2,5,7,61.5,50.7,25.5,32.1,12.8,13.8,27.4,26,72.4,60.9,55.4,41.4,29.7,7.6,8.2,63.8,50,53.4,43.3,71.6,76.945,79.452,2.03,"2,025",0,0,2.685,,79.6,69,1.256,1.08,12.87,Cornell
58,Utah St.,124.5,108.8,0.825,4–3,4,7,54.8,52.7,37.4,44.1,14.3,18.4,37.4,30.1,63.8,53.5,51.1,37.6,36.3,4.7,8.4,51.4,60.1,45.7,46.9,65.3,77.29,80.475,2.077,"2,025",0,0,17.856,,74.3,72.2,1.218,1.099,28.669,Utah St.
59,Boise St.,115.5,101,0.824,7–2,7,9,49.8,51.5,40.9,32.8,16.4,15.5,33.6,22.4,64.6,55.6,48,29.4,38.1,8,7.1,58,48.8,50.7,37.6,64.1,78.051,80.18,1.907,"2,025",0,0,13.354,,80,68.4,1.114,1.038,26.906,Boise St.
60,Colorado,111.7,97.7,0.824,4–5,4,9,49.1,48.4,36.1,39.5,19.5,15.2,28.8,29.1,68,51.7,44.6,29.5,36.5,10.8,10.4,54.2,51.2,35.7,37.1,69.4,78.991,81.626,1.892,"2,025",0,0,43.654,,74.2,68.6,1.007,1.046,51.179,Colorado
61,New Mexico St.,107.4,94.4,0.815,4–3,4,7,44.2,45.2,41.3,41.5,13.5,15.3,36.2,22.5,63.7,45.4,48.2,27.8,28.4,11,11.8,42.5,54.1,32.9,53.7,62.7,76.318,80.284,2.556,"2,025",0,0,2.443,,64.7,74.8,1.044,0.965,16.885,New Mexico St.
62,High Point,117.4,103.7,0.806,6–0,6,6,57.6,48.4,29.5,31.1,13.9,19.7,34.3,27.4,68.4,60.3,48.8,35.1,31.8,8.6,4.6,40.5,39.9,35.4,38.2,66.5,77.06,80.787,2.445,"2,025",0,0,17.054,,70.6,68.6,1.226,0.972,5.715,High Point
63,Loyola Chicago,111.2,98.4,0.803,6–2,6,8,52.3,47.2,29.1,36.6,15.9,15.5,31.2,25.8,66.8,52,47.2,35.1,31.4,14.6,9.3,61.1,53,42.9,43.3,67.2,77.784,80.194,2.293,"2,025",0,0,13.78,,63.5,74.4,1.085,1.02,18.662,Loyola Chicago
64,South Carolina,114.6,101.5,0.802,2–5,2,7,47.7,53.9,44.3,32.6,16.5,14.6,27.1,27.1,67.4,50.2,55.8,29.5,33.8,6.8,15.8,54.1,53.2,41.4,37.1,67.1,77.522,80.767,2.057,"2,025",0,0,40.926,,78.4,72.3,1.041,1.111,45.809,South Carolina
65,New Mexico,108.7,96.3,0.801,4–3,4,7,49.1,50.8,34,36.8,15,21.2,29.5,24.2,70.7,49.7,52.2,31.9,32.5,12.4,8.9,52.1,60.7,31.6,40.5,72.9,78.318,81.232,2.047,"2,025",0,0,45.924,,69,72.9,1.049,0.986,27.448,New Mexico
66,Utah,114.8,101.9,0.798,2–5,2,7,47.6,52.6,37.7,33.3,18.9,14.5,40.4,26.5,70.1,51,52,28.6,35.7,7.5,12.6,62.6,51.8,42.8,40,68.8,79.647,82.396,2.127,"2,025",0,0,54.119,,70.6,72.9,1.071,1.108,41.976,Utah
