,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
76,Massachusetts,111.64128211154556,101.69434406346532,15.5,41.4,31.5,54.1,9.946938048080241,-1.304267790671054,2024-01-10
99,Weber St.,110.40238721811248,102.87675951438996,14.499999999999998,24.7,33.6,51.2,7.52562770372252,-1.3068171007292624,2024-01-10
100,Arizona St.,102.42297256021294,95.45143028664174,15.5,24.2,30.4,48.9,6.9715422735712025,-1.5790592131215673,2024-01-10
106,Appalachian St.,106.64576598150688,100.19052077730672,14.2,24.2,32.8,56.5,6.455245204200168,-1.639600425437897,2024-01-10
86,Oklahoma St.,107.812930554105,99.22139920474234,19.2,28.6,32.7,54.0,8.591531349362654,-1.6548658768887818,2024-01-10
89,Hofstra,109.04140712747994,100.90772348915873,16.3,28.2,36.2,55.0,8.133683638321216,-1.6595529806240594,2024-01-10
93,Drake,111.5427831689888,103.62429771346122,15.0,31.8,34.8,57.6,7.918485455527588,-1.7190238721281716,2024-01-10
74,UCF,103.0629355346368,93.64580038289944,17.9,38.8,31.6,49.2,9.417135151737355,-1.942547557440213,2024-01-10
105,College of Charleston,110.75720214015098,103.55622419850864,15.9,28.7,33.2,51.6,7.200977941642336,-2.070053455598176,2024-01-10
101,Indiana,108.22795279275422,100.9468780630612,17.8,28.2,33.7,54.0,7.281074729693017,-2.26164441488726,2024-01-10
87,Duquesne,109.83356312692877,101.22510613922135,17.1,36.2,34.6,49.7,8.608456987707413,-2.283341237498479,2024-01-10
104,Yale,109.21840444477606,102.08205702957632,15.3,28.7,35.9,49.6,7.136347415199737,-2.284678076728161,2024-01-10
88,Seattle,103.60651752497598,95.83771561317184,19.7,35.2,26.3,51.4,7.768801911804147,-2.423830833799471,2024-01-10
107,Charlotte,106.55295618184304,100.11794357499484,15.9,29.5,31.5,52.8,6.435012606848204,-2.440092309822596,2024-01-10
98,Rutgers,98.65358640626415,91.88598269333212,16.400000000000002,28.8,31.3,44.7,6.767603712932029,-2.4827617351114633,2024-01-10
96,Arkansas,110.44184414034066,102.66690506062764,16.7,35.7,33.7,53.3,7.774939079713022,-2.4978371613750583,2024-01-10
95,Northern Iowa,111.65076064968731,103.7399129935904,16.1,35.4,37.0,53.8,7.910847656096919,-2.53508292978088,2024-01-10
85,Samford,111.83931318557563,102.720989132677,19.8,40.8,32.3,53.5,9.118324052898629,-2.5580223277318352,2024-01-10
102,LSU,105.19698674930753,98.15803029632032,18.7,29.7,33.2,54.3,7.0389564529872075,-2.6517865636778044,2024-01-10
91,Louisiana Tech,106.62890565077788,98.73575519066812,19.0,32.300000000000004,34.9,47.4,7.893150460109766,-2.7672282193330435,2024-01-10
109,Penn St.,107.14436287960746,101.09611354458758,15.8,31.8,30.6,52.0,6.048249335019875,-2.826267905637876,2024-01-10
92,UC Irvine,106.80425851348386,98.9905720976844,18.7,36.2,33.1,51.2,7.813686415799452,-2.8719512863623344,2024-01-10
94,Bradley,107.07920328731004,99.4872617283819,19.7,35.9,31.1,54.1,7.591941558928141,-2.9001656490538332,2024-01-10
116,McNeese St.,108.744131134899,103.47448579311768,13.5,28.9,32.8,48.8,5.269645341781327,-2.9156663415133903,2024-01-10
111,Drexel,104.3641206655666,98.8358389330337,18.2,26.8,29.8,50.2,5.5282817325329034,-3.069148143154928,2024-01-10
110,St. Thomas,106.8519384078396,100.90034330889202,16.8,31.8,30.9,51.7,5.951595098947578,-3.086226989641977,2024-01-10
113,Cornell,114.73909297658012,108.80273941952872,18.9,30.0,34.0,63.8,5.9363535570514046,-3.1650243301986434,2024-01-10
103,VCU,110.10466713481136,102.90645948883868,19.2,37.1,31.1,54.1,7.198207645972687,-3.1685433359566613,2024-01-10
108,High Point,116.65555864784278,109.99238812383965,16.6,34.1,36.4,55.0,6.663170524003135,-3.174615980358088,2024-01-10
125,Missouri St.,103.80125736263352,99.3729786131492,18.5,23.8,27.8,53.2,4.4282787494843205,-3.2600499628145645,2024-01-10
119,Delaware,108.7461579651824,103.7803808417493,15.1,29.5,32.8,52.3,4.965777123433099,-3.3209259547058094,2024-01-10
121,Belmont,110.91188912312631,106.01990350814788,17.9,26.3,31.6,55.4,4.891985614978438,-3.348138774863153,2024-01-10
126,Tulane,112.8442993806864,108.04088280394686,15.0,30.7,34.5,61.1,4.8034165767395365,-3.3873658881888833,2024-01-10
123,UC San Diego,108.87466993074769,104.11601684581504,15.2,28.9,34.1,52.6,4.7586530849326465,-3.5029716181910855,2024-01-10
97,Florida St.,107.01119406773309,99.6205622464603,16.8,42.8,34.1,49.3,7.390631821272791,-3.564914589023598,2024-01-10
118,Akron,108.20956359050628,103.01288495221397,18.8,29.4,34.1,55.0,5.196678638292312,-3.815326030641691,2024-01-10
112,Maryland,103.04304836228638,97.60416293332293,17.599999999999998,31.6,34.2,49.3,5.438885428963459,-3.85067988833229,2024-01-10
115,Santa Clara,107.86916637668654,102.4892176610564,18.8,31.8,32.8,52.6,5.379948715630135,-3.8959312834656172,2024-01-10
117,Western Carolina,107.6668806115794,102.48370290717604,15.4,35.5,34.4,52.5,5.183177704403363,-3.921711600313949,2024-01-10
129,Wichita St.,104.06201065047924,100.47178062434288,17.299999999999997,25.4,30.1,49.2,3.5902300261363536,-4.023259684056824,2024-01-10
122,Georgia Tech,107.03670359759892,102.35413378371292,17.8,32.0,30.7,50.0,4.682569813885991,-4.0820324135295465,2024-01-10
124,UNC Wilmington,110.5440286376166,105.7274168025416,12.4,39.0,36.7,49.7,4.816611835075008,-4.236566780604246,2024-01-10
114,Loyola Chicago,101.66312906938994,96.51373467011148,19.1,31.5,35.5,52.9,5.149394399278464,-4.265919416440138,2024-01-10
120,Missouri,109.59646266606276,104.72019769285096,16.2,37.6,32.8,53.3,4.8762649732118035,-4.287678366340799,2024-01-10
128,UMass Lowell,105.88097474424828,102.17138529322486,20.1,28.6,25.8,51.5,3.709589451023419,-4.307050434875716,2024-01-10
141,West Virginia,105.71285038661456,102.99655913787412,17.0,23.0,33.5,46.6,2.716291248740447,-4.631562338268328,2024-01-10
139,Davidson,105.12340495628136,102.37594033666689,16.8,28.5,32.6,53.0,2.747464619614476,-4.82919658203517,2024-01-10
132,Oakland,109.9596562773451,106.8234534505284,16.2,30.5,36.8,52.2,3.1362028268166995,-5.0382662756418135,2024-01-10
