,team,This matches from B to L,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,,Team,This matches from L to B,,This matches from B to L
122,Georgia Tech,Georgia Tech,107.0367036,102.3541338,17.8,32,30.7,50,4.682569814,-4.082032414,,UC Davis,UC Davis,,Georgia Tech
124,UNC Wilmington,#N/A,110.5440286,105.7274168,12.4,39,36.7,49.7,4.816611835,-4.236566781,,Cleveland St.,Cleveland St.,,UNC Wilmington
114,Loyola Chicago,Loyola Chicago,101.6631291,96.51373467,19.1,31.5,35.5,52.9,5.149394399,-4.265919416,,North Carolina A&T,North Carolina A&T,,Loyola Chicago
120,Missouri,Missouri,109.5964627,104.7201977,16.2,37.6,32.8,53.3,4.876264973,-4.287678366,,Tulane,Tulane,,Missouri
128,UMass Lowell,#N/A,105.8809747,102.1713853,20.1,28.6,25.8,51.5,3.709589451,-4.307050435,,Appalachian St.,Appalachian St.,,#N/A
141,West Virginia,West Virginia,105.7128504,102.9965591,17,23,33.5,46.6,2.716291249,-4.631562338,,Portland,Portland,,West Virginia
139,Davidson,Davidson,105.123405,102.3759403,16.8,28.5,32.6,53,2.74746462,-4.829196582,,Kent St.,Kent St.,,Davidson
132,Oakland,Oakland,109.9596563,106.8234535,16.2,30.5,36.8,52.2,3.136202827,-5.038266276,,Furman,Furman,,Oakland
137,Illinois Chicago,Illinois Chicago,101.4093842,98.61678218,17.9,33.3,27.3,50.4,2.792602034,-5.089262759,,American,American,,Illinois Chicago
150,Vermont,Vermont,107.6625444,105.9157608,14.2,27.9,34.6,53.3,1.746783611,-5.097711997,,Norfolk St.,Norfolk St.,,Vermont
133,Montana,Montana,108.5980449,105.5142958,14.8,34.5,36.3,53.5,3.083749162,-5.130063011,,Duke,Duke,,Montana
130,Longwood,#N/A,101.7369971,98.42508976,18.5,33.8,30.2,50.4,3.311907367,-5.152036506,,Penn St.,Penn St.,,#N/A
136,Wright St.,#N/A,117.1798594,113.920037,17.6,32,37.3,59.5,3.259822361,-5.15930836,,USC Upstate,USC Upstate,,Wright St.
134,Western Kentucky,Western Kentucky,99.71326836,96.88999337,17.7,34.2,27.7,49.3,2.823274985,-5.186102259,,Massachusetts,Massachusetts,,Western Kentucky
138,UNC Greensboro,#N/A,105.6795607,102.8045533,15.6,34.8,32.7,49.3,2.875007418,-5.257845475,,St. Francis PA,St. Francis PA,,UNC Greensboro
148,Toledo,Toledo,112.3360019,110.3492324,16.2,25.9,36.3,52.1,1.98676956,-5.272320569,,Cincinnati,Cincinnati,,Toledo
131,South Dakota St.,#N/A,107.8449427,104.5611184,18.2,32,36,54.9,3.283824287,-5.279467185,,East Tennessee St.,East Tennessee St.,,South Dakota St.
127,California,California,109.3257892,105.4656319,18.8,33.8,36.5,50.5,3.860157347,-5.369004018,,Lamar,Lamar,,California
140,Hawaii,Hawaii,103.4590298,100.7624285,18.7,33.4,31.7,53.3,2.696601303,-5.556573205,,UNC Asheville,UNC Asheville,,Hawaii
