,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
68,High Point,119,106.7,0.778,11–0,11,11,57.5,49.3,32.3,35.1,14.8,17.3,35.6,29,68.3,59.3,50.2,36,31.8,7,6.7,40.3,40.2,33.8,36.7,67.3,77.06,80.787,2.445,"2,025",0,0,17.054,,75.2,70.9,1.235,1.03,7.566,High Point
69,Syracuse,118.1,106.1,0.774,4–6,4,10,53.5,54.4,33.1,36,18.2,13.5,35.8,28.4,66.4,51.6,55.5,38.6,35.2,6.6,10.5,53.4,45.1,30.9,39,67.2,77.701,80.897,2.16,"2,025",0,0,61.457,,76.1,70.7,1.13,1.152,27.825,Syracuse
70,South Carolina,114,102.6,0.771,2–8,2,10,47.6,56.2,44.9,33.1,16.3,14.3,25.5,25.6,67,50,54.4,29.2,39.4,7.2,14.4,52.3,54.7,39.8,37.9,66.6,77.526,80.746,2.058,"2,025",0,0,40.924,,75.7,73.1,1.025,1.146,50.805,South Carolina
71,UNLV,104,93.9,0.764,6–4,6,10,49.1,45.3,32.2,33,17.4,15,24.7,23.8,66.1,50.4,50.5,30.9,25.1,11.5,12.3,45,57.6,33.2,40.7,67,77.884,80.889,2.003,"2,025",0,0,42.678,,72.2,71.7,1.003,0.964,21.7,UNLV
72,Memphis,113.7,102.9,0.759,9–1,9,10,54.6,49.9,32,31.4,17.5,17.2,37.9,27.9,71.3,54,50.4,37.4,32.8,13.8,7.6,54.5,51.5,31.2,38.1,70.6,76.965,80.835,2.43,"2,025",0,0,53.621,,68.5,69.6,1.154,1.027,11.699,Memphis
73,Virginia,118.9,107.8,0.755,5–5,5,10,55.4,55,26.5,32.3,14.4,14.9,22.3,29.3,61.9,54.3,54,37.9,37.9,10.6,10.9,62,47.3,42.9,34.2,62,78.354,81.621,1.417,"2,025",0,0,72.983,,77.1,73.3,1.121,1.148,33.205,Virginia
74,Georgia Tech,108.8,99,0.748,7–3,7,10,49.8,48.2,28,24.2,18.4,14.9,34.6,30.5,65.4,49.5,46.3,33.6,33.7,9.3,12.6,51.5,57.3,35.7,42.9,66.6,77.85,81.124,1.544,"2,025",0,0,33.324,,69.4,74.2,1.054,1.038,27.749,Georgia Tech
75,Texas,114.8,104.5,0.747,3–7,3,10,49.8,52.1,33.8,47.6,15.4,15.2,30.5,27.5,70.5,47.8,51.1,35.6,35.8,10.8,7.5,46.9,48.7,35.6,37.6,68.8,78.02,80.714,2.182,"2,025",0,0,60.413,,73,76.1,1.073,1.127,43.206,Texas
76,Colorado,108.2,98.6,0.744,3–8,3,11,48.6,49.2,32.4,38,20.8,13.6,29.3,26.7,66.9,52.7,46.8,28,35.5,12.5,11.7,54.3,57.3,38.8,37.3,67,79.004,81.625,1.877,"2,025",0,0,43.749,,72.7,68.1,0.982,1.059,49.274,Colorado
77,Saint Joseph's,113.1,103.1,0.744,7–3,7,10,54.4,46.9,33.1,28,16.4,16.4,30.3,29.7,66.5,54.1,46.9,36.6,31.3,13.3,9.2,54.1,41.4,47.7,27.9,66.6,77.445,80.661,1.833,"2,025",0,0,43.75,,74.2,72,1.128,1.003,14.987,Saint Joseph's
78,Arizona St.,117.4,107.1,0.742,1–10,1,11,50.8,55.5,34.4,36.8,13.8,15.2,20.1,33,70.2,48.1,55.5,36.3,37.1,9.2,11.6,48.9,59,43.2,42.1,70,78.248,81.468,1.914,"2,025",0,0,57.808,,76.3,76.4,1.056,1.198,49.492,Arizona St.
79,TCU,107.2,98,0.737,6–5,6,11,45.5,52.5,35.7,26.1,18.6,19.8,32.7,29.4,67.1,47.7,55,27.3,32.7,12.2,9.8,50,63.1,32.9,41.2,67.1,77.821,80.733,1.656,"2,025",0,0,48.827,,69.1,76.4,0.979,1.044,38.616,TCU
80,Dartmouth,102.1,93.4,0.736,6–3,6,9,53.8,42.5,27.5,19.9,16.8,11.6,22.4,22.9,72,54.1,47.6,35.7,22.1,10.7,7.1,63.1,49.8,47.4,35.3,71.4,76.251,79.201,2.003,"2,025",0,0,0.2,,75.7,68.3,1.066,0.918,7.25,Dartmouth
81,Nebraska,113.9,104.3,0.734,4–6,4,10,51.3,53.4,36.7,27.8,14.8,15.4,25.4,30,67.2,53.7,53,31.7,36,8.2,7.5,52.5,53.2,39.5,39.1,66.8,78.023,81.147,2.501,"2,025",0,0,38.883,,75.8,71.4,1.088,1.109,36.718,Nebraska
82,Dayton,114.6,105,0.732,7–2,7,9,50.5,48.9,43.7,33.8,16.4,17.6,33.2,32.2,66.6,50.5,55.5,33.6,26.8,9.4,9.1,54.8,49.3,41.5,43.3,67,76.397,81.09,2.404,"2,025",0,0,30.926,,80.6,74.7,1.125,1.054,20.288,Dayton
83,North Alabama,116.3,107.1,0.721,10–2,10,12,54.1,48.9,34.9,25.2,10.6,16.9,34.3,29.7,66.2,51.5,47.6,40.1,33.9,10.9,10.4,40.3,50.8,30.3,42,66.2,75.78,78.984,2.118,"2,025",0,0,6.3,,66.8,68.7,1.213,1.029,7.558,North Alabama
